148,109,181,141,1.000000
150,113,183,145,0.829294
153,117,186,149,0.860754
156,118,189,150,0.830525
160,118,193,150,0.783086
162,117,195,149,0.754687
162,118,195,150,0.751929
162,119,195,151,0.783511
163,120,196,152,0.769443
164,120,197,152,0.765387
167,119,200,151,0.741426
166,115,199,147,0.729792
161,112,194,144,0.730438
157,110,190,142,0.654865
156,107,189,139,0.658348
154,79,188,112,0.502000
151,74,186,107,0.492610
147,71,182,104,0.489942
142,69,177,102,0.506077
135,68,170,101,0.672128
128,68,163,101,0.673167
127,68,162,101,0.675077
127,67,162,100,0.623252
127,65,162,98,0.625320
128,63,163,96,0.623921
139,66,176,100,0.736766
146,71,182,105,0.723562
151,79,187,113,0.761531
156,89,192,123,0.769533
160,99,196,133,0.763492
163,121,199,155,0.759391
165,128,201,162,0.714092
165,125,202,160,0.614890
165,113,201,147,0.678410
164,93,200,127,0.670455
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
160,52,187,79,0.663736
159,56,186,83,0.666899
NaN,NaN,NaN,NaN,NaN
161,89,201,127,0.555905
162,106,203,145,0.610698
162,120,203,159,0.601246
162,122,203,161,0.573930
162,101,202,139,0.548987
160,94,187,121,0.694511
159,92,186,119,0.611248
158,94,185,121,0.617519
157,98,184,125,0.676175
155,114,182,141,0.687885
154,125,181,152,0.642917
155,138,181,164,0.634850
157,155,182,180,0.612514
157,166,183,192,0.620800
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
148,109,175,136,0.655783
146,113,173,140,0.679912
144,120,171,147,0.669826
142,130,170,158,0.647177
141,142,169,170,0.642981
138,141,167,170,0.611260
135,122,163,150,0.607813
131,101,159,129,0.617130
127,79,157,109,0.571034
